n;date_hour;t_puna;ilum_puna;t_forest;ilum_forest;temp_forest;hr_forest;temp_puna;hr_puna
1;14/04/2025 12:00;17.665;0;17.665;0;;;;
2;14/04/2025 12:30;17.665;0;17.57;0;;;;
3;14/04/2025 13:00;17.665;0;17.76;0;;;;
4;14/04/2025 13:30;17.76;0;17.76;0;;;;
5;14/04/2025 14:00;17.475;0;17.57;0;;;;
6;14/04/2025 14:30;17.379;0;17.379;0;;;;
7;14/04/2025 15:00;17.189;0;17.284;0;;;;
8;14/04/2025 15:30;17.094;0;17.094;0;;;;
9;14/04/2025 16:00;17.094;0;17.094;0;;;;
10;14/04/2025 16:30;17.094;0;17.094;0;;;;
11;14/04/2025 17:00;17.379;0;17.379;0;;;;
12;14/04/2025 17:30;17.665;0;17.665;0;;;;
13;14/04/2025 18:00;17.665;0;17.57;0;;;;
14;14/04/2025 18:30;17.57;0;17.57;0;;;;
15;14/04/2025 19:00;17.475;0;17.475;0;;;;
16;14/04/2025 19:30;16.999;0;17.094;0;;;;
17;14/04/2025 20:00;16.999;0;16.999;0;;;;
18;14/04/2025 20:30;16.332;0;16.427;0;;;;
19;14/04/2025 21:00;15.76;0;15.76;0;;;;
20;14/04/2025 21:30;15.282;0;15.282;0;;;;
21;14/04/2025 22:00;14.9;0;14.804;0;;;;
22;14/04/2025 22:30;14.613;0;14.517;0;;;;
23;14/04/2025 23:00;14.421;0;14.325;0;;;;
24;14/04/2025 23:30;14.23;0;14.134;0;;;;
25;15/04/2025 0:00;14.038;0;13.846;0;;;;
26;15/04/2025 0:30;13.654;0;13.558;0;;;;
27;15/04/2025 1:00;13.365;0;13.269;0;;;;
28;15/04/2025 1:30;13.076;0;12.98;0;;;;
29;15/04/2025 2:00;12.883;0;12.69;0;;;;
30;15/04/2025 2:30;12.594;0;12.594;0;;;;
31;15/04/2025 3:00;12.497;0;12.401;0;;;;
32;15/04/2025 3:30;12.304;0;12.304;0;;;;
33;15/04/2025 4:00;12.207;0;12.207;0;;;;
34;15/04/2025 4:30;12.11;0;12.11;0;;;;
35;15/04/2025 5:00;12.013;0;12.013;0;;;;
36;15/04/2025 5:30;11.916;0;11.916;0;;;;
37;15/04/2025 6:00;11.819;0;11.722;0;;;;
38;15/04/2025 6:30;11.722;0;11.625;0;;;;
39;15/04/2025 7:00;11.625;0;11.528;0;;;;
40;15/04/2025 7:30;11.528;0;11.431;0;;;;
41;15/04/2025 8:00;11.334;0;11.334;0;;;;
42;15/04/2025 8:30;11.236;0;11.139;0;;;;
43;15/04/2025 9:00;11.139;0;11.041;0;;;;
44;15/04/2025 9:30;11.041;0;10.944;0;;;;
45;15/04/2025 10:00;10.944;0;10.846;0;;;;
46;15/04/2025 10:30;10.846;0;10.748;0;;;;
47;15/04/2025 11:00;10.748;0;10.651;0;;;;
48;15/04/2025 11:30;10.651;0;10.553;0;;;;
49;15/04/2025 12:00;10.553;0;10.455;0;;;;
50;15/04/2025 12:30;10.455;0;10.357;0;;;;
51;15/04/2025 13:00;10.357;0;10.357;0;;;;
52;15/04/2025 13:30;10.357;0;10.357;0;;;;
53;15/04/2025 14:00;10.748;0;10.846;0;;;;
54;15/04/2025 14:30;11.236;0;11.431;0;;;;
55;15/04/2025 15:00;11.916;0;12.013;0;;;;
56;15/04/2025 15:30;12.497;0;12.69;0;;;;
57;15/04/2025 16:00;13.269;0;13.461;0;;;;
58;15/04/2025 16:30;14.038;0;14.23;0;;;;
59;15/04/2025 17:00;14.613;0;14.804;0;;;;
60;15/04/2025 17:30;15.091;0;15.282;0;;;;
61;15/04/2025 18:00;15.378;0;15.569;0;;;;
62;15/04/2025 18:30;15.664;0;15.664;0;;;;
63;15/04/2025 19:00;15.76;0;15.76;0;;;;
64;15/04/2025 19:30;15.855;0;15.951;0;;;;
65;15/04/2025 20:00;16.237;0;16.427;0;;;;
66;15/04/2025 20:30;16.523;0;16.618;0;14.553;76.671;17.867;72.683
67;15/04/2025 21:00;16.523;0;16.618;0;;;;
68;15/04/2025 21:30;16.523;0;16.523;0;14.745;71.876;14.936;70.136
69;15/04/2025 22:00;16.618;0;16.618;0;14.002;73.181;13.81;73.115
70;15/04/2025 22:30;16.618;0;16.618;0;13.449;73.241;13.209;73.786
71;15/04/2025 23:00;16.523;0;16.427;0;13.088;73.085;12.799;73.901
72;15/04/2025 23:30;16.332;0;16.237;0;12.823;72.976;12.509;74.067
73;16/04/2025 0:00;16.141;0;16.046;0;12.509;72.491;12.122;73.681
74;16/04/2025 0:30;15.951;0;15.76;0;12.243;72.353;11.832;73.651
75;16/04/2025 1:00;15.664;0;15.473;0;12.001;72.052;11.565;73.401
76;16/04/2025 1:30;15.378;0;15.187;0;11.662;71.562;11.297;73.039
77;16/04/2025 2:00;15.187;0;14.996;0;11.419;71.43;11.078;72.883
78;16/04/2025 2:30;14.996;0;14.804;0;11.248;71.763;10.932;73.022
79;16/04/2025 3:00;14.9;0;14.709;0;11.127;72.218;10.81;73.446
80;16/04/2025 3:30;14.804;0;14.709;0;11.029;72.312;10.687;73.645
81;16/04/2025 3:50;;;;;;;;
82;16/04/2025 3:51;;;;;;;;
83;16/04/2025 4:00;17.76;0;18.045;0;10.907;72.597;10.541;73.978
84;16/04/2025 4:30;16.237;0;16.237;0;10.834;73.395;10.492;74.608
85;16/04/2025 5:00;15.282;0;15.091;0;10.932;74.81;10.687;76.173
86;16/04/2025 5:30;14.804;0;14.613;0;11.078;76.006;10.883;77.456
87;16/04/2025 6:00;14.517;0;14.325;0;11.248;76.429;11.053;78.042
88;16/04/2025 6:30;14.23;0;14.038;0;11.346;76.56;11.2;78.402
89;16/04/2025 7:00;13.942;0;13.75;0;11.54;77.098;11.467;78.981
90;16/04/2025 7:30;13.654;0;13.461;0;11.759;77.089;11.734;78.407
91;16/04/2025 8:00;13.461;0;13.173;0;12.074;77.072;12.195;78.506
92;16/04/2025 8:30;13.173;0;12.883;0;12.364;76.995;12.461;78.066
93;16/04/2025 9:00;12.98;0;12.69;0;12.703;76.677;12.968;77.454
94;16/04/2025 9:30;12.69;0;12.497;0;12.968;76.315;13.185;76.415
95;16/04/2025 10:00;12.594;0;12.304;0;13.497;76.982;14.098;76.717
96;16/04/2025 10:30;12.401;0;12.11;0;14.218;76.49;15.031;75.563
97;16/04/2025 11:00;12.207;0;12.013;0;14.96;75.464;15.891;73.953
98;16/04/2025 11:30;12.11;0;11.819;0;15.7;73.972;16.749;72.064
99;16/04/2025 12:00;12.11;0;11.819;0;16.082;73.165;16.892;71.199
100;16/04/2025 12:30;12.11;0;11.819;0;16.272;72.774;16.987;71.131
101;16/04/2025 13:00;12.11;0;11.916;0;16.749;72.322;17.605;70.409
102;16/04/2025 13:30;12.11;0;11.916;0;16.892;71.689;17.629;69.92
103;16/04/2025 14:00;12.207;0;12.013;0;16.963;71.241;17.605;69.799
104;16/04/2025 14:30;12.304;0;12.11;2;16.82;71.012;17.368;69.639
105;16/04/2025 15:00;12.401;0;12.401;1;16.415;71.079;16.725;70.127
106;16/04/2025 15:30;12.594;0;12.497;4;16.225;71.618;16.463;71.204
107;16/04/2025 16:00;12.69;1;12.787;7;15.891;71.64;16.129;71.14
108;16/04/2025 16:30;12.883;1;12.98;5;15.724;72.409;15.891;71.984
109;16/04/2025 17:00;13.269;1;13.365;6;15.39;72.059;15.39;72.087
110;16/04/2025 17:30;13.846;1;14.038;7;14.96;72.346;14.84;72.579
111;16/04/2025 18:00;14.325;1;14.613;6;14.529;72.063;14.361;72.571
112;16/04/2025 18:30;14.996;1;15.282;6;14.026;72.505;13.81;72.917
113;16/04/2025 19:00;15.282;1;15.569;6;13.738;73.242;13.473;73.867
114;16/04/2025 19:30;15.473;3;15.76;13;13.401;74.36;13.161;74.873
115;16/04/2025 20:00;15.951;11;16.237;34;13.161;74.452;12.871;75.206
116;16/04/2025 20:30;16.141;1;16.427;8;12.92;74.094;12.678;75.166
117;16/04/2025 21:00;16.237;2;16.618;10;12.678;74.663;12.413;75.419
118;16/04/2025 21:30;16.237;1;16.523;5;12.364;75.549;12.147;76.228
119;16/04/2025 22:00;16.046;4;16.332;16;12.243;75.524;11.977;76.581
120;16/04/2025 22:30;16.046;1;16.237;7;12.147;75.838;11.904;76.898
121;16/04/2025 23:00;15.855;0;16.046;3;12.098;76.273;11.856;77.275
122;16/04/2025 23:30;15.76;0;15.951;2;12.122;77.221;11.929;78.118
123;17/04/2025 0:00;15.569;0;15.664;0;12.195;77.43;12.05;78.722
124;17/04/2025 0:30;15.378;0;15.378;1;12.243;77.854;12.05;78.75
125;17/04/2025 1:00;15.091;0;15.091;0;12.219;77.877;12.025;78.992
126;17/04/2025 1:30;14.804;0;14.804;0;12.122;78.16;11.904;79.075
127;17/04/2025 2:00;14.613;0;14.517;0;12.05;78.64;11.832;79.471
128;17/04/2025 2:30;14.421;0;14.23;0;11.759;79.016;11.589;79.883
129;17/04/2025 3:00;14.134;0;13.942;0;11.807;79.191;11.613;80.133
130;17/04/2025 3:30;13.942;0;13.654;0;11.807;78.862;11.565;80.15
131;17/04/2025 4:00;13.75;0;13.558;0;11.565;75.829;11.078;76.808
132;17/04/2025 4:30;13.654;0;13.461;0;11.078;73.668;10.687;75.287
133;17/04/2025 5:00;13.461;0;13.269;0;10.296;74.902;10.198;75.906
134;17/04/2025 5:30;13.365;0;13.173;0;9.903;75.237;9.731;76.222
135;17/04/2025 6:00;13.269;0;13.076;0;9.608;76.059;9.485;76.61
136;17/04/2025 6:30;13.173;0;12.98;0;10.1;77.564;10.173;78.783
137;17/04/2025 7:00;13.173;0;12.98;0;10.614;78.742;10.761;80.001
138;17/04/2025 7:30;13.076;0;12.98;0;11.127;74.348;11.492;75.536
139;17/04/2025 8:00;12.98;0;12.883;0;12.147;76.283;13.425;75.319
140;17/04/2025 8:30;12.883;0;12.787;0;13.618;74.206;15.151;71.669
141;17/04/2025 9:00;12.883;0;12.69;0;14.84;72.465;16.511;69.131
142;17/04/2025 9:30;12.69;0;12.497;0;16.01;70.195;17.796;66.558
143;17/04/2025 10:00;12.594;0;12.497;0;16.868;68.819;18.557;65.065
144;17/04/2025 10:30;12.497;0;12.401;0;16.844;67.619;17.962;64.696
145;17/04/2025 11:00;12.207;0;12.11;0;16.32;68.078;17.034;65.834
146;17/04/2025 11:30;11.916;0;11.722;0;16.177;69.504;16.963;67.436
147;17/04/2025 12:00;11.722;0;11.528;0;16.32;69.907;17.082;67.837
148;17/04/2025 12:30;11.431;0;11.236;0;16.272;69.261;16.987;67.44
149;17/04/2025 13:00;11.236;0;11.041;0;16.201;69.363;16.796;67.786
150;17/04/2025 13:30;11.334;0;11.139;0;16.177;70.227;16.773;68.714
151;17/04/2025 14:00;11.528;0;11.334;2;16.415;71.137;17.201;69.259
152;17/04/2025 14:30;11.722;0;11.625;3;16.415;71.655;17.058;70.074
153;17/04/2025 15:00;12.304;0;12.401;4;16.153;71.489;16.558;70.154
154;17/04/2025 15:30;13.076;0;13.269;4;16.082;72.508;16.511;71.385
155;17/04/2025 16:00;13.846;1;14.23;6;16.01;72.437;16.32;71.55
156;17/04/2025 16:30;14.709;1;15.187;7;15.605;68.528;15.724;68.695
157;17/04/2025 17:00;15.473;1;15.951;6;15.127;68.295;15.103;68.407
158;17/04/2025 17:30;15.664;0;16.141;4;14.697;67.376;14.553;68.074
159;17/04/2025 18:00;15.569;0;16.046;3;14.026;67.659;13.786;67.847
160;17/04/2025 18:30;15.664;4;16.046;19;13.666;69.38;13.353;69.923
161;17/04/2025 19:00;15.951;1;16.332;6;13.449;70.656;13.064;71.465
162;17/04/2025 19:30;16.046;2;16.332;11;13.233;72.094;12.896;73.103
163;17/04/2025 20:00;16.141;0;16.427;3;13.137;72.869;12.751;73.835
164;17/04/2025 20:30;16.237;1;16.523;7;13.088;76.423;12.871;76.934
165;17/04/2025 21:00;16.618;1;16.999;8;13.04;76.803;12.896;77.273
166;17/04/2025 21:30;16.618;6;16.903;110;12.968;76.231;12.775;77.192
167;17/04/2025 22:00;16.523;0;16.713;5;12.944;76.282;12.775;77.192
168;17/04/2025 22:30;16.427;0;16.618;5;12.896;76.244;12.678;77.476
169;17/04/2025 23:00;16.427;0;16.523;6;12.847;76.234;12.582;77.539
170;17/04/2025 23:30;16.237;0;16.332;0;12.751;75.991;12.437;77.37
171;18/04/2025 0:00;15.951;0;15.951;0;12.654;75.832;12.34;77.322
172;18/04/2025 0:30;15.664;0;15.664;0;12.389;74.043;11.953;75.631
173;18/04/2025 1:00;15.091;0;14.9;0;11.856;71.882;11.394;73.423
174;18/04/2025 1:30;14.996;0;14.804;0;11.175;70.93;10.883;72.367
175;18/04/2025 2:00;14.804;0;14.613;0;11.127;71.514;10.834;72.807
176;18/04/2025 2:30;14.613;0;14.421;0;11.151;72.813;10.834;74.037
177;18/04/2025 3:00;14.421;0;14.134;0;11.151;73.15;10.785;74.613
178;18/04/2025 3:30;14.325;0;14.038;0;11.029;72.368;10.638;73.998
179;18/04/2025 4:00;14.325;0;14.038;0;10.883;71.692;10.492;73.354
180;18/04/2025 4:30;14.134;0;13.942;0;10.761;71.499;10.394;73.111
181;18/04/2025 5:00;14.038;0;13.846;0;10.663;71.818;10.296;73.315
182;18/04/2025 5:30;13.942;0;13.75;0;10.59;72.085;10.198;73.658
183;18/04/2025 6:00;13.75;0;13.654;0;10.516;72.463;10.222;73.942
184;18/04/2025 6:30;13.654;0;13.461;0;11.078;74.756;11.467;75.837
185;18/04/2025 7:00;13.461;0;13.269;0;12.364;70.734;13.473;70.832
186;18/04/2025 7:30;13.269;0;13.173;0;13.642;69.462;15.103;67.537
187;18/04/2025 8:00;12.98;0;12.787;0;14.888;68.483;16.487;65.591
188;18/04/2025 8:30;12.69;0;12.497;0;15.414;68.058;16.582;65.077
189;18/04/2025 9:00;12.497;0;12.304;0;15.7;69.27;16.773;66.874
190;18/04/2025 9:30;12.401;0;12.207;0;15.867;69.475;16.725;67.1
191;18/04/2025 10:00;12.304;0;12.11;0;15.819;69.928;16.487;67.904
192;18/04/2025 10:30;12.207;0;11.916;0;15.986;70.681;16.701;68.614
193;18/04/2025 11:00;12.013;0;11.819;0;16.368;70.378;17.225;68.214
194;18/04/2025 11:30;11.819;0;11.625;0;16.32;70.773;17.011;68.845
195;18/04/2025 12:00;11.722;0;11.528;0;16.415;70.676;17.153;68.988
196;18/04/2025 12:30;11.625;0;11.334;0;16.606;70.365;17.368;68.678
197;18/04/2025 13:00;11.431;0;11.236;0;16.725;69.954;17.486;68.349
198;18/04/2025 13:30;11.722;0;11.528;2;17.177;69.196;18.129;67.058
199;18/04/2025 14:00;12.304;0;12.401;3;17.177;68.963;17.891;67.31
200;18/04/2025 14:30;13.076;0;13.269;4;16.892;69.26;17.32;67.851
201;18/04/2025 15:00;13.846;1;14.23;4;16.749;70.305;17.225;69.089
202;18/04/2025 15:30;14.325;0;14.709;2;16.463;70.685;16.701;69.717
203;18/04/2025 16:00;14.709;1;15.091;5;16.177;71.12;16.415;70.503
204;18/04/2025 16:30;15.091;1;15.378;9;16.034;71.122;16.201;70.606
205;18/04/2025 17:00;15.187;1;15.569;7;15.629;71.417;15.7;71
206;18/04/2025 17:30;15.473;2;15.76;11;15.27;71.463;15.247;71.344
207;18/04/2025 18:00;15.855;1;16.237;6;14.792;71.486;14.673;71.72
208;18/04/2025 18:30;16.046;1;16.332;6;14.361;71.631;14.17;72.05
209;18/04/2025 19:00;16.237;1;16.523;5;14.026;72.533;13.858;72.898
210;18/04/2025 19:30;16.427;3;16.713;17;13.762;74.882;13.618;74.797
211;18/04/2025 20:00;16.523;1;16.808;6;13.906;75.67;13.786;76.512
212;18/04/2025 20:30;16.999;1;17.284;8;13.93;75.843;13.738;76.363
213;18/04/2025 21:00;16.999;2;17.284;10;13.786;75.056;13.497;76.006
214;18/04/2025 21:30;16.903;2;17.094;9;13.594;74.567;13.329;75.719
215;18/04/2025 22:00;16.903;2;17.094;14;13.064;75.805;12.944;76.337
216;18/04/2025 22:30;16.713;0;16.903;1;13.016;76.297;12.775;77.22
217;18/04/2025 23:00;16.618;0;16.713;5;12.944;76.142;12.751;77.048
218;18/04/2025 23:30;16.523;0;16.618;1;12.871;76.295;12.63;77.328
219;19/04/2025 0:00;16.332;0;16.427;0;12.847;76.206;12.582;77.401
220;19/04/2025 0:30;16.141;0;16.141;0;12.727;76.849;12.509;77.856
221;19/04/2025 1:00;15.855;0;15.76;0;12.654;76.944;12.461;77.928
222;19/04/2025 1:30;15.569;0;15.473;0;12.582;77.318;12.389;78.437
223;19/04/2025 2:00;15.378;0;15.282;0;12.534;76.697;12.292;77.975
224;19/04/2025 2:30;15.187;0;14.996;0;12.34;76.546;12.074;77.818
225;19/04/2025 3:00;15.187;0;14.996;0;12.074;73.812;11.807;75.379
226;19/04/2025 3:30;15.091;0;14.9;0;11.565;74.52;11.394;75.377
227;19/04/2025 4:00;14.9;0;14.709;0;11.443;74.384;11.297;75.385
228;19/04/2025 4:30;14.804;0;14.613;0;11.151;74.408;10.98;75.459
229;19/04/2025 5:00;14.613;0;14.421;0;10.932;73.666;10.687;74.899
230;19/04/2025 5:30;14.421;0;14.23;0;10.907;73.689;10.614;74.8
231;19/04/2025 6:00;14.325;0;14.134;0;10.883;73.405;10.638;75.111
232;19/04/2025 6:30;14.134;0;14.038;0;11.127;75.905;11.2;77.357
233;19/04/2025 7:00;14.038;0;13.942;0;11.929;74.175;12.558;74.862
234;19/04/2025 7:30;13.942;0;13.75;0;13.137;71.024;14.409;69.663
235;19/04/2025 8:00;13.846;0;13.654;0;14.457;70.706;15.986;68.046
236;19/04/2025 8:30;13.75;0;13.558;0;15.151;69.081;16.32;66.266
237;19/04/2025 9:00;13.558;0;13.461;0;15.175;69.634;15.891;67.476
238;19/04/2025 9:30;13.461;0;13.269;0;15.294;70.147;15.939;68.503
239;19/04/2025 10:00;13.173;0;13.076;0;15.605;70.378;16.32;68.631
240;19/04/2025 10:30;12.98;0;12.787;0;16.177;70.111;17.201;68.122
241;19/04/2025 11:00;12.883;0;12.69;0;16.296;69.931;16.987;68.2
242;19/04/2025 11:30;12.594;0;12.497;0;16.534;69.512;17.368;67.918
243;19/04/2025 12:00;12.401;0;12.207;0;16.796;68.922;17.653;67.149
244;19/04/2025 12:30;12.207;0;12.013;0;16.892;68.241;17.653;66.62
245;19/04/2025 13:00;12.11;0;11.916;0;16.939;68.249;17.629;66.675
246;19/04/2025 13:30;12.207;0;12.013;1;17.201;67.771;18.033;66.039
247;19/04/2025 14:00;12.594;0;12.497;3;17.13;67.846;17.748;66.284
248;19/04/2025 14:30;13.173;0;13.269;3;16.892;67.598;17.51;66.065
249;19/04/2025 15:00;13.942;0;14.23;1;16.654;67.701;16.987;66.619
250;19/04/2025 15:30;14.421;0;14.804;1;16.606;67.839;16.987;67.03
251;19/04/2025 16:00;14.613;1;14.9;6;16.32;67.32;16.392;66.923
252;19/04/2025 16:30;14.804;2;14.996;11;15.772;67.6;15.772;67.279
253;19/04/2025 17:00;15.187;1;15.378;4;15.39;67.356;15.366;67.817
254;19/04/2025 17:30;15.664;1;16.046;6;14.984;67.137;14.888;67.643
255;19/04/2025 18:00;15.855;3;16.141;12;14.553;67.553;14.385;68.101
256;19/04/2025 18:30;16.141;1;16.427;7;14.146;68.491;13.882;69.018
257;19/04/2025 19:00;16.332;5;16.618;24;14.002;70.247;13.738;71.197
258;19/04/2025 19:30;16.523;2;16.808;9;13.69;70.674;13.401;71.36
259;19/04/2025 20:00;16.713;6;16.903;35;13.642;72.487;13.353;73.053
260;19/04/2025 20:30;17.094;44;17.379;224;13.666;72.888;13.353;73.759
261;19/04/2025 21:00;17.284;0;17.665;4;13.497;72.713;13.233;73.763
262;19/04/2025 21:30;17.189;1;17.665;6;12.678;73.595;12.534;74.381
263;19/04/2025 22:00;16.999;1;17.189;7;12.147;73.377;12.05;74.031
264;19/04/2025 22:30;16.903;0;17.094;1;12.122;74.494;11.953;75.353
265;19/04/2025 23:00;16.713;0;16.808;1;11.37;73.754;11.248;74.317
266;19/04/2025 23:30;16.427;0;16.523;1;11.346;73.889;11.175;74.804
267;20/04/2025 0:00;16.237;0;16.237;0;11.127;73.173;10.907;74.247
268;20/04/2025 0:30;15.951;0;15.951;0;11.151;71.942;10.932;73.302
269;20/04/2025 1:00;15.664;0;15.569;0;11.151;70.84;10.932;72.096
270;20/04/2025 1:30;15.282;0;15.187;0;11.175;70.59;10.956;71.734
271;20/04/2025 2:00;15.187;0;15.091;0;11.102;70.293;10.834;71.598
272;20/04/2025 2:30;14.9;0;14.709;0;10.932;70.345;10.638;71.532
273;20/04/2025 3:00;14.804;0;14.613;0;10.736;70.025;10.467;71.245
274;20/04/2025 3:30;14.709;0;14.517;0;10.467;69.945;10.222;71.028
275;20/04/2025 4:00;14.613;0;14.421;0;10.026;70.849;9.952;71.482
276;20/04/2025 4:30;14.325;0;14.23;0;9.558;71.77;9.485;72.371
277;20/04/2025 5:00;14.038;0;13.846;0;9.213;73.181;9.139;73.695
278;20/04/2025 5:30;13.846;0;13.654;0;8.916;73.761;8.866;74.166
279;20/04/2025 6:00;13.558;0;13.365;0;8.965;75.319;8.891;75.937
280;20/04/2025 6:30;13.269;0;13.076;0;9.213;77.43;9.064;77.89
281;20/04/2025 7:00;12.98;0;12.787;0;9.657;79.732;9.608;80.235
282;20/04/2025 7:30;12.787;0;12.594;0;9.731;78.66;9.608;79.694
283;20/04/2025 8:00;12.594;0;12.497;0;9.928;77.664;9.805;78.622
284;20/04/2025 8:30;12.497;0;12.401;0;10.001;77.159;9.805;78.24
285;20/04/2025 9:00;12.304;0;12.207;0;9.952;77.203;9.829;78.136
286;20/04/2025 9:30;12.11;0;12.013;0;10.051;78.702;9.977;78.904
287;20/04/2025 10:00;11.916;0;11.819;0;10.345;78;10.32;78.788
288;20/04/2025 10:30;11.819;0;11.625;0;10.565;77.361;10.59;78.052
289;20/04/2025 11:00;11.722;0;11.528;0;10.956;77.471;11.297;78.094
290;20/04/2025 11:30;11.528;0;11.236;0;11.589;78.101;12.219;78.208
291;20/04/2025 12:00;11.236;0;11.041;0;12.413;77.725;13.353;76.785
292;20/04/2025 12:30;11.041;0;10.846;0;13.016;76.129;13.786;74.465
293;20/04/2025 13:00;10.944;0;10.651;0;13.305;75.154;13.93;73.704
294;20/04/2025 13:30;10.944;0;10.651;0;13.425;71.421;13.978;70.9
295;20/04/2025 14:00;12.497;3;10.455;16;13.209;69.524;13.642;70.121
296;20/04/2025 14:30;10.063;5;9.866;31;13.281;71.792;13.834;70.387
297;20/04/2025 15:00;10.063;6;9.965;34;13.906;71.998;14.84;69.975
298;20/04/2025 15:30;10.063;8;9.965;46;14.074;71.29;14.577;69.666
299;20/04/2025 16:00;10.161;11;10.063;62;13.834;70.473;14.05;70.284
300;20/04/2025 16:30;10.259;13;10.161;73;13.497;73.42;13.57;72.302
301;20/04/2025 17:00;10.553;18;10.553;100;13.209;72.458;13.088;72.52
302;20/04/2025 17:30;10.944;16;10.846;89;12.461;73.777;12.219;73.785
303;20/04/2025 18:00;11.722;33;11.625;176;11.929;73.249;11.589;74.078
304;20/04/2025 18:30;12.594;42;12.497;224;12.074;74.596;11.807;77.182
305;20/04/2025 19:00;13.942;56;13.846;304;12.05;71.779;12.122;73.034
306;20/04/2025 19:30;14.23;31;14.134;160;11.929;70.423;12.098;71.929
307;20/04/2025 20:00;14.23;20;14.134;113;11.856;69.269;12.05;70.417
308;20/04/2025 20:30;14.517;23;14.421;128;11.783;68.226;12.025;68.987
309;20/04/2025 21:00;14.038;35;13.942;176;11.662;68.519;11.904;68.707
310;20/04/2025 21:30;15.76;39;16.046;3;11.516;67.919;11.807;68.431
311;20/04/2025 22:00;14.804;36;14.517;3;11.321;67.682;11.613;67.564
312;20/04/2025 22:30;14.325;21;14.325;1;11.127;68.105;11.419;67.987
313;20/04/2025 23:00;14.038;5;14.134;0;11.053;68.148;11.37;67.892
314;20/04/2025 23:30;13.75;2;13.75;0;10.98;68.563;11.321;67.969
315;21/04/2025 0:00;13.461;1;13.558;0;10.834;68.536;11.175;68.028
316;21/04/2025 0:30;12.69;0;13.173;0;10.638;68.556;11.029;68.001
317;21/04/2025 1:00;12.401;0;12.594;0;10.467;68.838;10.858;67.826
318;21/04/2025 1:30;12.304;0;12.401;0;10.247;69.393;10.638;68.271
319;21/04/2025 2:00;12.11;0;12.207;0;10.1;71.089;10.467;69.406
320;21/04/2025 2:30;11.916;0;12.013;0;10.173;72.367;10.516;71
321;21/04/2025 3:00;11.722;0;11.819;0;10.345;72.681;10.687;71.428
322;21/04/2025 3:30;11.625;0;11.722;0;10.296;71.408;10.687;70.61
323;21/04/2025 4:00;11.528;0;11.625;0;10.124;71.178;10.565;70.133
324;21/04/2025 4:30;11.334;0;11.528;0;9.952;70.355;10.418;69.425
325;21/04/2025 5:00;11.041;0;11.334;0;9.805;70.299;10.247;69.166
326;21/04/2025 5:30;10.944;0;11.139;0;9.756;71.078;10.173;69.691
327;21/04/2025 6:00;10.846;0;11.041;0;9.879;71.692;10.247;70.242
328;21/04/2025 6:30;10.748;0;11.041;0;10.173;73.597;10.443;71.521
329;21/04/2025 7:00;10.553;0;10.846;0;10.883;72.956;10.932;71.786
330;21/04/2025 7:30;10.357;0;10.651;0;15.079;72.683;14.026;77.399
331;21/04/2025 8:00;10.161;0;10.455;0;19.603;63.635;18.628;68.88
332;21/04/2025 8:30;9.965;0;10.259;0;12.582;70.32;19.222;58.776
333;21/04/2025 9:00;9.866;0;10.063;0;11.516;77.452;27.259;49.964
334;21/04/2025 9:30;9.965;0;10.161;0;9.756;87.302;17.415;61.953
335;21/04/2025 10:00;10.063;0;10.259;0;10.687;86.156;15.127;68.151
336;21/04/2025 10:30;9.965;0;10.259;0;11.759;81.553;10.492;86.162
337;21/04/2025 11:00;9.768;0;10.063;0;11.248;85.599;10.59;89.102
338;21/04/2025 11:30;9.571;0;9.866;0;9.903;88.646;10.051;90.397
339;21/04/2025 12:00;9.373;0;9.669;0;9.114;94.4;10.296;91.672
340;21/04/2025 12:30;9.373;0;9.571;0;9.064;95.245;9.485;92.515
341;21/04/2025 13:00;9.768;0;10.063;0;10.59;95.779;9.731;93.904
342;21/04/2025 13:30;10.063;0;10.063;1;11.297;94.213;10.443;93.249
343;21/04/2025 14:00;10.553;8;10.651;7;14.697;87.565;11.37;91.662
344;21/04/2025 14:30;12.401;208;12.304;32;12.485;84.499;10.883;91.124
345;21/04/2025 15:00;20.329;2816;18.045;192;13.377;86.903;10.834;91.267
346;21/04/2025 15:30;27.764;496;23.581;216;9.682;93.637;10.051;93.937
347;21/04/2025 16:00;21.569;3584;26.195;112;11.224;94.933;10.198;94.433
348;21/04/2025 16:30;13.846;1664;21.664;1;11.005;90.974;11.54;91.912
349;21/04/2025 17:00;18.236;1472;18.236;2;9.163;91.972;9.46;92.815
350;21/04/2025 17:30;21.76;2432;11.819;94;7.92;94.135;8.593;93.96
351;21/04/2025 18:00;19.853;2688;11.625;128;8.02;95.391;8.295;94.737
352;21/04/2025 18:30;20.138;1088;11.139;100;7.67;95.771;8.494;95.192
353;21/04/2025 19:00;12.787;1408;11.139;106;7.494;96.222;7.97;95.453
354;21/04/2025 19:30;12.207;1024;10.357;56;7.645;96.163;8.319;95.797
355;21/04/2025 20:00;13.75;1408;10.161;76;7.519;96.104;8.319;95.972
356;21/04/2025 20:30;18.996;2176;11.431;160;7.72;96.084;8.369;96.16
357;21/04/2025 21:00;23.484;4096;12.401;136;7.695;96.276;8.394;96.267
358;21/04/2025 21:30;23.1;3200;12.207;113;7.645;96.362;8.394;96.367
359;21/04/2025 22:00;23.1;1152;12.013;70;7.67;96.568;8.369;96.46
360;21/04/2025 22:30;15.951;608;10.846;44;7.594;96.696;8.394;96.566
